cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness	clean_reads
5	16	18	0.0000	0.0000
5	17	5	0.0000	0.0000
5	17	8	0.2062	1.0000
5	17	11	0.0000	0.0000
5	17	16	0.1128	0.6063
5	17	18	0.0000	0.0000
5	18	5	0.0000	0.0000
5	18	8	0.2717	1.0000
5	18	12	37.0581	106.0000
5	18	14	0.4301	1.0000
5	18	18	0.6427	2.3141
5	19	5	0.0991	0.3958
5	19	8	0.2452	1.0000
5	19	9	0.3016	1.0000
5	19	18	0.5173	2.0628
5	20	5	0.0000	0.0000
5	20	8	0.2321	1.0000
5	20	18	1.0817	4.5542
6	1	3	2.3291	10.0000
6	1	18	2.2362	10.0000
6	2	4	0.0000	0.0000
6	2	6	0.0000	0.0000
6	2	16	0.1969	1.0000
6	3	8	2.3419	13.0000
6	3	14	1.0741	3.4908
6	3	16	0.3240	2.0000
6	4	1	0.0000	0.0000
6	4	2	0.0000	0.0000
6	4	3	0.0000	0.0000
6	4	4	0.0000	0.0000
6	4	5	0.5683	2.7502
6	4	6	0.0000	0.0000
6	4	7	0.0000	0.0000
6	4	8	0.0000	0.0000
6	4	9	0.0000	0.0000
6	4	10	0.0000	0.0000
6	4	11	0.0000	0.0000
6	4	12	0.0000	0.0000
6	4	13	0.0000	0.0000
6	4	14	0.0000	0.0000
6	4	15	0.0000	0.0000
6	4	16	0.0000	0.0000
6	4	17	0.0000	0.0000
6	4	18	0.0000	0.0000
6	4	19	0.0000	0.0000
6	4	20	0.0000	0.0000
6	5	1	4.4070	30.0000
6	5	14	67.0325	226.0000
6	6	18	0.3414	1.8410
6	7	4	0.1504	1.0000
6	7	13	3.1826	12.0000
6	7	17	0.2555	1.0000
6	8	14	0.0000	0.0000
6	8	15	20.3434	93.0000
6	9	4	0.1533	1.0000
6	9	10	0.0000	0.0000
6	9	19	0.0000	0.0000
6	9	20	0.0000	0.0000
6	11	2	0.0000	0.0000
6	11	3	53.0549	310.0000
6	11	4	0.2500	2.0000
6	11	10	0.0000	0.0000
6	11	13	2.7069	12.0000
6	12	14	0.2926	1.0000
6	13	9	0.7813	3.0000
6	13	18	0.2144	1.0000
6	14	11	1.1319	3.0000
6	15	17	0.2994	1.1202
6	15	19	0.2632	1.0000
6	16	6	0.3132	1.0000
6	17	11	0.0000	0.0000
6	17	16	0.0000	0.0000
6	17	18	0.1767	1.0000
6	17	19	0.2291	1.0000
6	18	3	0.2453	1.0000
6	18	11	18.9723	71.0000
